Krankheiten;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Campylobacter-Enteritis;99;90;93;144;74;74;133;155;182;161;116;137;133;166;176;184;149;121;77;85;61;72
Covid-19 - SARS-CoV-2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;1735;5295;68987;3275
Creutzfeld-Jacob-Krankheit; 0; 0; 0; 0; 0; 0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1
Denguefieber; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;1;2;0;1;0;0;1;0;0;1
Diphtherie; 0; 0; 0;1; 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
E. -coli- Enteritis;18;10;5;5;17;7;6;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0
EHEC/STEC; 0; 0; 0; 0; 0; 0; 0;2;0;16;1;3;5;8;6;10;7;9;2;4;4;11
Giardiasis;7;1;8;3;1;3;10;6;8;12;15;5;3;8;10;13;2;0;2;4;2;3
Hepatitis A;2; 0;3;3;8;1;10;2;1;2;3;1;0;2;0;3;4;1;1;1;2;1
Hepatitis B;12;10;5;1;4;2;1;1;5;16;1;8;4;3;12;16;15;9;4;12;28;39
Hepatitis C;67;28;35;14;4;14;0;1;0;51;3;14;17;5;12;19;13;13;7;7;13;28
Hepatitis D;1; 0; 0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hepatitis E; 0; 0; 0; 0; 0;0;1;0;3;4;0;0;0;3;5;8;9;6;6;7;16;24
HUS; 0; 0; 0; 0; 0; 0; 0;1;0;5;0;0;0;0;0;1;0;0;0;0;0;0
Influenza; 0; 0; 0; 0;20;60;52;356;12;76;8;16;8;58;45;66;128;164;121;0;212;84
Keuchhusten/Pertussis; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;19;24;9;24;23;9;9;2;1;1;7
Kraetze (Skabies); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;80;156;59;47;7;60
Kryptosporidiose;1; 0;0;4;3;1;0;1;1;1;1;1;2;3;5;3;2;0;6;5;2;5
Legionellose; 0; 0;2; 0; 0;0;1;0;0;1;0;0;2;1;1;2;0;3;0;2;3;2
Leptospirose; 0; 0; 0; 0; 0; 0; 0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0
Listeriose; 0; 0; 0; 0;2;0;0;0;1;2;0;0;0;0;4;2;0;1;2;2;0;1
Masern; 0; 0;1;1; 0;0;4;0;1;2;0;1;1;0;0;0;2;2;0;0;0;0
Meningokokken;6; 0; 0;1;4;4;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0
MRSA; 0; 0; 0; 0; 0; 0; 0; 0;9;7;5;3;8;3;3;3;4;4;1;0;2;3
Mumps; 0; 0;0 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;1;0;0;0;0;0;0;0
Norovirus;325;297;201;110;88;323;302;259;224;227;223;172;109;141;139;84;100;67;31;41;102;69
Rotavirus;39;110;102;90;69;59;123;111;94;76;38;99;33;50;36;71;33;32;11;14;14;32
Salmonellose;70;123;79;96;84;80;71;54;33;30;34;18;14;28;15;17;21;30;9;9;11;16
Shigellose;4;5;4;1;1;2;1;0;2;1;1;1;0;0;0;0;0;2;0;0;0;3
Tuberkulose;22;17;12;32;11;12;8;7;7;10;10;11;7;8;13;16;30;17;21;19;41;31
Typhus; 0; 0; 0;1;0;1;0;0;1;2;1;0;0;0;0;0;1;0;0;0;0;0
Windpocken; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;5;12;14;16;18;3;10;2;2;1;2
Yersinose;18;34;25;16;14;11;3;4;1;6;0;3;1;4;4;3;2;1;4;3;0;1
